"Emplacamento de Caminhões"
"Período";"CAMINHÕES"
"2012 - MAR";13692
"2012 - ABR";11113
"2012 - MAI";10881
"2012 - JUN";10776
"2012 - JUL";10915
"2012 - AGO";11466
"2012 - SET";8551
"2012 - OUT";12624
"2012 - NOV";12608
"2012 - DEZ";12603
"2013 - JAN";12097
"2013 - FEV";9966
"2013 - MAR";12285
"2013 - ABR";13970
"2013 - MAI";12636
"2013 - JUN";13063
"2013 - JUL";15144
"2013 - AGO";13239
"2013 - SET";12719
"2013 - OUT";13391
"2013 - NOV";11641
"2013 - DEZ";14425
"2014 - JAN";10778
"2014 - FEV";10437
"2014 - MAR";9241
"2014 - ABR";10888
"2014 - MAI";12710
"2014 - JUN";10585
"2014 - JUL";12388
"2014 - AGO";10807
"2014 - SET";11210
"2014 - OUT";12172
"2014 - NOV";12153
"2014 - DEZ";13686
"2015 - JAN";7661
"2015 - FEV";5153
"2015 - MAR";6491
"2015 - ABR";5789
"2015 - MAI";6016
"2015 - JUN";6181
"2015 - JUL";6494
"2015 - AGO";5809
"2015 - SET";5927
"2015 - OUT";5778
"2015 - NOV";4735
"2015 - DEZ";5618
"2016 - JAN";4416
"2016 - FEV";3851
"2016 - MAR";4843
"2016 - ABR";4202
"2016 - MAI";4076
"2016 - JUN";4200
"2016 - JUL";4684
"2016 - AGO";4400
"2016 - SET";4194
"2016 - OUT";3444
"2016 - NOV";3800
"2016 - DEZ";4450
"2017 - JAN";2948
"2017 - FEV";2614
"2017 - MAR";4104
"2017 - ABR";3469
"2017 - MAI";4105
"2017 - JUN";4217
"2017 - JUL";4535
"2017 - AGO";4834
"2017 - SET";4540
"2017 - OUT";5029
"2017 - NOV";5472
"2017 - DEZ";6076
"2018 - JAN";4561
"2018 - FEV";4040
"2018 - MAR";5933
"2018 - ABR";6166
"2018 - MAI";5626
"2018 - JUN";5704
"2018 - JUL";6591
"2018 - AGO";7457
"2018 - SET";6708
"2018 - OUT";7897
"2018 - NOV";7680
"2018 - DEZ";7642
"2019 - JAN";6987
"2019 - FEV";6876
"2019 - MAR";7601
"2019 - ABR";8502
"2019 - MAI";9128
"2019 - JUN";7688
"2019 - JUL";8942
"2019 - AGO";9433
"2019 - SET";9098
"2019 - OUT";9418
"2019 - NOV";9064
"2019 - DEZ";8598
"2020 - JAN";7285
"2020 - FEV";6412
"2020 - MAR";6438
"2020 - ABR";3954
"2020 - MAI";4820
"2020 - JUN";8954
"2020 - JUL";9543
"2020 - AGO";8079
"2020 - SET";7312
"2020 - OUT";7909
"2020 - NOV";9143
"2020 - DEZ";9838
"2021 - JAN";7538
"2021 - FEV";7781
"2021 - MAR";10759
"2021 - ABR";9786
"2021 - MAI";11498
"2021 - JUN";11371
"2021 - JUL";11974
"2021 - AGO";12947
"2021 - SET";11627
"2021 - OUT";11048
"2021 - NOV";10473
"2021 - DEZ";11887
"2022 - JAN";8706
"2022 - FEV";8092
"2022 - MAR";10056
"2022 - ABR";9384
