"Exportação de Caminhões"
"Período";"CAMINHÕES"
"2022 - AGO";2335
"2022 - SET";2487
"2022 - OUT";3000
"2022 - NOV";2466
"2022 - DEZ";1815
"2023 - JAN";1026
"2023 - FEV";1650
"2023 - MAR";1792
"2023 - ABR";1001
"2023 - MAI";1304
"2023 - JUN";1389
"2023 - JUL";1352
"2023 - AGO";1434
"2023 - SET";1519
"2023 - OUT";1839
"2023 - NOV";1555
"2023 - DEZ";1085
"2024 - JAN";625
"2024 - FEV";1329
"2024 - MAR";1368
"2024 - ABR";1188
"2024 - MAI";1288
"2024 - JUN";1242
"2024 - JUL";1496
"2024 - AGO";1471
"2024 - SET";1709
"2024 - OUT";2148
"2024 - NOV";1960
"2024 - DEZ";2066
"2025 - JAN";1019
"2025 - FEV";2308
"2025 - MAR";2620
"2025 - ABR";2141
"2025 - MAI";2831
"2025 - JUN";2525
"2025 - JUL";2759
"2025 - AGO";2767
"2025 - SET";2669
"2025 - OUT";2345
"2025 - NOV";2132
"2025 - DEZ";868
"2026 - JAN";1106
"2026 - FEV";1169
"2026 - MAR";2290
"2026 - ABR";2088
"2026 - MAI";2081
"2026 - JUN";1932
"2026 - JUL";2114
"2026 - AGO";2197
