"Produção de Caminhões"
"Período";"CAMINHÕES"
"1979 - JUN";7664
"1979 - JUL";8348
"1979 - AGO";9158
"1979 - SET";7601
"1979 - OUT";8519
"1979 - NOV";7845
"1979 - DEZ";7453
"1980 - JAN";7999
"1980 - FEV";7420
"1980 - MAR";8515
"1980 - ABR";2069
"1980 - MAI";6982
"1980 - JUN";8309
"1980 - JUL";9552
"1980 - AGO";9429
"1980 - SET";9454
"1980 - OUT";10201
"1980 - NOV";9636
"1980 - DEZ";7897
"1981 - JAN";8720
"1981 - FEV";9042
"1981 - MAR";8737
"1981 - ABR";6939
"1981 - MAI";7924
"1981 - JUN";7879
"1981 - JUL";7590
"1981 - AGO";3201
"1981 - SET";1539
"1981 - OUT";2990
"1981 - NOV";2832
"1981 - DEZ";1919
"1982 - JAN";2331
"1982 - FEV";3386
"1982 - MAR";4438
"1982 - ABR";4292
"1982 - MAI";4058
"1982 - JUN";4394
"1982 - JUL";4486
"1982 - AGO";4227
"1982 - SET";3729
"1982 - OUT";3473
"1982 - NOV";2904
"1982 - DEZ";2282
"1983 - JAN";1018
"1983 - FEV";2599
"1983 - MAR";3408
"1983 - ABR";2786
"1983 - MAI";3695
"1983 - JUN";3405
"1983 - JUL";2616
"1983 - AGO";2984
"1983 - SET";2341
"1983 - OUT";2958
"1983 - NOV";2529
"1983 - DEZ";2896
"1984 - JAN";3126
"1984 - FEV";3025
"1984 - MAR";3495
"1984 - ABR";3186
"1984 - MAI";4252
"1984 - JUN";3885
"1984 - JUL";3313
"1984 - AGO";4167
"1984 - SET";3576
"1984 - OUT";3971
"1984 - NOV";3803
"1984 - DEZ";3318
"1985 - JAN";4664
"1985 - FEV";3375
"1985 - MAR";4489
"1985 - ABR";2849
"1985 - MAI";3207
"1985 - JUN";4490
"1985 - JUL";6670
"1985 - AGO";6097
"1985 - SET";6145
"1985 - OUT";6902
"1985 - NOV";6177
"1985 - DEZ";5201
"1986 - JAN";6614
"1986 - FEV";6241
"1986 - MAR";6606
"1986 - ABR";7084
"1986 - MAI";6820
"1986 - JUN";6920
"1986 - JUL";7006
"1986 - AGO";6436
"1986 - SET";7388
"1986 - OUT";6646
"1986 - NOV";5838
"1986 - DEZ";5035
"1987 - JAN";5223
"1987 - FEV";4797
"1987 - MAR";5543
"1987 - ABR";5725
"1987 - MAI";6027
"1987 - JUN";5938
"1987 - JUL";6152
"1987 - AGO";4857
"1987 - SET";6097
"1987 - OUT";6234
"1987 - NOV";5971
"1987 - DEZ";5371
"1988 - JAN";5499
"1988 - FEV";6130
"1988 - MAR";7196
"1988 - ABR";6004
"1988 - MAI";5737
"1988 - JUN";6795
"1988 - JUL";6415
"1988 - AGO";6108
"1988 - SET";4441
"1988 - OUT";5145
"1988 - NOV";5298
"1988 - DEZ";4112
"1989 - JAN";4832
"1989 - FEV";4448
"1989 - MAR";2916
"1989 - ABR";2900
"1989 - MAI";4044
"1989 - JUN";5261
"1989 - JUL";5251
"1989 - AGO";5995
"1989 - SET";5625
"1989 - OUT";5290
"1989 - NOV";4987
"1989 - DEZ";5464
"1990 - JAN";4515
"1990 - FEV";4981
"1990 - MAR";4267
"1990 - ABR";928
"1990 - MAI";3783
"1990 - JUN";2741
"1990 - JUL";2838
"1990 - AGO";4634
"1990 - SET";4708
"1990 - OUT";5176
"1990 - NOV";5045
"1990 - DEZ";4603
"1991 - JAN";4250
"1991 - FEV";3261
"1991 - MAR";2949
"1991 - ABR";2685
"1991 - MAI";3128
"1991 - JUN";4603
"1991 - JUL";4855
"1991 - AGO";5398
"1991 - SET";4633
"1991 - OUT";5095
"1991 - NOV";3730
"1991 - DEZ";2128
"1992 - JAN";1433
"1992 - FEV";1647
"1992 - MAR";2347
"1992 - ABR";2467
"1992 - MAI";2286
"1992 - JUN";3382
"1992 - JUL";3530
"1992 - AGO";3138
"1992 - SET";3314
"1992 - OUT";3417
"1992 - NOV";2606
"1992 - DEZ";1393
"1993 - JAN";2208
"1993 - FEV";1904
"1993 - MAR";3674
"1993 - ABR";3479
"1993 - MAI";3765
"1993 - JUN";3874
"1993 - JUL";3764
"1993 - AGO";4529
"1993 - SET";4940
"1993 - OUT";4800
"1993 - NOV";4799
"1993 - DEZ";3646
"1994 - JAN";3285
"1994 - FEV";3350
"1994 - MAR";4674
"1994 - ABR";3586
"1994 - MAI";5701
"1994 - JUN";5383
"1994 - JUL";5742
"1994 - AGO";6047
"1994 - SET";4696
"1994 - OUT";6011
"1994 - NOV";6272
